complete_address,city,price_total,price,rent,sqm,is_furnished,coords
"ul. marsz. Józefa Piłsudskiego, Śródmieście, Bytom, śląskie","Bytom, śląskie",1740.0,1350.0,390.0,40,True,"(50.3470387, 18.9231857)"
"ul. Michała Grażyńskiego, Koszutka, Katowice, śląskie","Katowice, śląskie",2100.0,2100.0,,41,True,"(50.2598987, 19.0215852)"
"ul. Kazimiery Iłłakowiczówny, Koszutka, Katowice, śląskie","Katowice, śląskie",2800.0,2000.0,800.0,52,True,"(50.2598987, 19.0215852)"
"ul. Tysiąclecia, Osiedle Tysiąclecia, Katowice, śląskie","Katowice, śląskie",2550.0,2000.0,550.0,39,False,"(50.2598987, 19.0215852)"
"ul. Johna Baildona, Dąb, Katowice, śląskie","Katowice, śląskie",2500.0,2500.0,,38,True,"(50.2598987, 19.0215852)"
"ul. Klonowa, Koszutka, Katowice, śląskie","Katowice, śląskie",1980.0,1680.0,300.0,34,False,"(50.2598987, 19.0215852)"
"ul. Prymasa Stefana Wyszyńskiego 29, Piekary Śląskie, śląskie","Piekary Śląskie, śląskie",1200.0,1200.0,,40,True,"(50.3840312, 18.9456429)"
"Sielec, Sosnowiec, śląskie","Sosnowiec, śląskie",2950.0,2450.0,500.0,45,True,"(50.2820814, 19.1416344)"
"ul. Grunwaldzka, Jaworzno, śląskie","Jaworzno, śląskie",2150.0,1500.0,650.0,40,True,"(50.203439, 19.2721559)"
"ul. gen. Kazimierza Pułaskiego, Osiedle Paderewskiego-Muchowiec, Katowice, śląskie","Katowice, śląskie",5000.0,5000.0,,62,True,"(50.2598987, 19.0215852)"
"ul. Johna Baildona, Dąb, Katowice, śląskie","Katowice, śląskie",3950.0,3950.0,,62,True,"(50.2598987, 19.0215852)"
"ul. Johna Baildona, Dąb, Katowice, śląskie","Katowice, śląskie",5500.0,5500.0,,78,True,"(50.2598987, 19.0215852)"
"Stary Sosnowiec, Sosnowiec, śląskie","Sosnowiec, śląskie",3200.0,2900.0,300.0,71,True,"(50.283912, 19.1126792)"
"Świętochłowice, śląskie","Świętochłowice, śląskie",750.0,750.0,,24,True,"(50.2854551, 18.9308513)"
"ul. Plebiscytowa, Śródmieście, Katowice, śląskie","Katowice, śląskie",1700.0,1700.0,,25,False,"(50.2598987, 19.0215852)"
"Osiedle Tysiąclecia, Osiedle Tysiąclecia, Katowice, śląskie","Katowice, śląskie",1700.0,1700.0,,60,True,"(50.2823722, 18.9696258)"
